Batch_reward,Episode_reward,Loss,episode
126.0,25.2,-0.323914110660553,5
170.0,34.0,-0.3671955466270447,10
95.0,19.0,-0.31113868951797485,15
79.0,15.8,-0.31862735748291016,20
83.0,16.6,-0.31243768334388733,25
74.0,14.8,-0.2790282964706421,30
76.0,15.2,-0.30600470304489136,35
69.0,13.8,-0.2797362208366394,40
124.0,24.8,-0.31787288188934326,45
94.0,18.8,-0.32114318013191223,50
142.0,28.4,-0.3324996829032898,55
110.0,22.0,-0.3379059135913849,60
72.0,14.4,-0.31070083379745483,65
160.0,32.0,-0.36996564269065857,70
72.0,14.4,-0.3219853341579437,75
80.0,16.0,-0.3177907168865204,80
91.0,18.2,-0.31226593255996704,85
115.0,23.0,-0.3390122056007385,90
113.0,22.6,-0.32164397835731506,95
178.0,35.6,-0.35060709714889526,100
80.0,16.0,-0.3213381767272949,105
116.0,23.2,-0.3130705952644348,110
99.0,19.8,-0.3158109486103058,115
102.0,20.4,-0.32293465733528137,120
93.0,18.6,-0.30985644459724426,125
117.0,23.4,-0.33105579018592834,130
115.0,23.0,-0.3251442313194275,135
113.0,22.6,-0.356834352016449,140
126.0,25.2,-0.32076460123062134,145
100.0,20.0,-0.3276306986808777,150
89.0,17.8,-0.32530131936073303,155
82.0,16.4,-0.3186661899089813,160
128.0,25.6,-0.33558765053749084,165
101.0,20.2,-0.31853118538856506,170
108.0,21.6,-0.33060187101364136,175
120.0,24.0,-0.32635703682899475,180
154.0,30.8,-0.3299770951271057,185
116.0,23.2,-0.3230454623699188,190
197.0,39.4,-0.3595934212207794,195
93.0,18.6,-0.3127687871456146,200
133.0,26.6,-0.3340115547180176,205
125.0,25.0,-0.32840797305107117,210
99.0,19.8,-0.32053759694099426,215
139.0,27.8,-0.3281051516532898,220
141.0,28.2,-0.32602617144584656,225
145.0,29.0,-0.33977046608924866,230
96.0,19.2,-0.3226241171360016,235
114.0,22.8,-0.33663344383239746,240
111.0,22.2,-0.3363283574581146,245
162.0,32.4,-0.3411697745323181,250
128.0,25.6,-0.3296198844909668,255
91.0,18.2,-0.32588136196136475,260
111.0,22.2,-0.3307957649230957,265
107.0,21.4,-0.3256392478942871,270
129.0,25.8,-0.33310621976852417,275
66.0,13.2,-0.3237151503562927,280
121.0,24.2,-0.3433718979358673,285
75.0,15.0,-0.3230298161506653,290
117.0,23.4,-0.3261656165122986,295
176.0,35.2,-0.3627626895904541,300
121.0,24.2,-0.3326563835144043,305
96.0,19.2,-0.32595303654670715,310
98.0,19.6,-0.3163517415523529,315
83.0,16.6,-0.3248583674430847,320
123.0,24.6,-0.3384328782558441,325
84.0,16.8,-0.3206236958503723,330
122.0,24.4,-0.3618758022785187,335
71.0,14.2,-0.32045409083366394,340
102.0,20.4,-0.3334352970123291,345
78.0,15.6,-0.3175198435783386,350
154.0,30.8,-0.370138555765152,355
107.0,21.4,-0.3431130051612854,360
102.0,20.4,-0.3242567479610443,365
91.0,18.2,-0.32735154032707214,370
