Episode_reward,episode
-1673.3837361587691,0
-1611.2107172299563,1
-1659.4160521895024,2
-1617.9072409202724,3
-1861.9679785277126,4
-1763.910137087496,5
-1658.4920855201797,6
-1754.9157618553288,7
-1771.638571076579,8
-1635.0500733190356,9
-1863.882293772463,10
-1664.9519363991008,11
-1836.3254177350832,12
-1775.645768017405,13
-1865.7059554598081,14
-1920.414217966775,15
-1884.8910375338226,16
-1743.024879306623,17
-1653.244234369963,18
-1751.1522173890673,19
-1881.8639983374635,20
-1510.054349955367,21
-1887.5303639858053,22
-1650.4917305014794,23
-1905.0681187020784,24
-1875.819462571147,25
-1820.3064531151408,26
-1723.8747104845838,27
-1602.2116608304307,28
-1855.345759622926,29
-1710.032672688522,30
-1769.424270335167,31
-1707.9905089081487,32
-1641.477811993138,33
-1518.7050062000985,34
-1566.549386520303,35
-1668.2834998549986,36
-1563.8955009358124,37
-1362.205846609126,38
-1283.5080213907506,39
-1354.54501676445,40
-1472.7425773045209,41
-1471.2995495830785,42
-1375.8887630767326,43
-1339.077764792099,44
-1434.533515049349,45
-1485.0339921528862,46
-1341.0398820936869,47
-1486.84721756297,48
-1352.957296788103,49
-1342.5273363530544,50
-1340.0682630180129,51
-1036.2075945454487,52
-1276.6274271479326,53
-1378.7286652280159,54
-1383.1333938843554,55
-1064.402679493027,56
-1280.5296942855787,57
-1270.1603060839977,58
-1310.1768800998607,59
-1195.7544995374515,60
-1201.4174510889954,61
-1242.3759303993406,62
-1289.033183004484,63
-1353.406651924718,64
-1172.2720349219376,65
-1307.4848178663754,66
-1336.8995309970574,67
-1302.5196522410472,68
-896.4895524174703,69
-1021.6573199932254,70
-1220.7766933793941,71
-1317.625342544375,72
-1203.2769689452646,73
-1036.1990807027873,74
-1166.6188368012795,75
-1081.1619119858392,76
-864.5837941042004,77
-1098.249813354747,78
-995.9852197347332,79
-1177.9396746958691,80
-1080.2470194508992,81
-1039.092759952932,82
-1109.2317723717972,83
-932.7793296730388,84
-990.4120615287829,85
-1058.5168296232578,86
-942.1667228712881,87
-879.7663118141093,88
-752.0422928604002,89
-888.3943144061936,90
-1128.1769755407613,91
-1034.5925816665876,92
-846.7631204763816,93
-969.0698894458254,94
-1164.060822006457,95
-903.8996592979744,96
-1184.424706774562,97
-682.046077453111,98
-782.7897181424028,99
-647.8582736454379,100
-894.6590602212112,101
-724.0908468127682,102
-635.216429500116,103
-638.1912089809953,104
-898.6114814646173,105
-1188.6158496113953,106
-557.2692091355098,107
-996.6846572786549,108
-1073.3532881944932,109
-649.7672728167229,110
-1008.5572013439719,111
-1048.5657625792385,112
-1125.0998674557268,113
-896.1498540600301,114
-782.9270386638215,115
-1121.313137741631,116
-916.552424255541,117
-763.5646666093456,118
-393.4227657720568,119
-928.9484237373965,120
-923.6335547465371,121
-801.2321028734696,122
-373.2352059863441,123
-917.6934151483332,124
-843.6923046474043,125
-1004.2469703913843,126
-751.4240173938097,127
-592.3909700170991,128
-524.5322196630357,129
-391.90170261493563,130
-528.4153900660657,131
-522.4180378005351,132
-263.4760752753853,133
-791.830124696192,134
-674.5605915786391,135
-857.1385714780329,136
-1106.5356286265423,137
-866.2994864080176,138
-1033.2325725468008,139
-1113.64326634444,140
-1070.645549272555,141
-391.23800823424483,142
-385.3694897852698,143
-248.7725308273716,144
-253.69001182733678,145
-707.954918440374,146
-832.0992924120936,147
-922.3908834435002,148
-389.75089834507963,149
-1005.8163725249925,150
-667.399030809139,151
-392.38536379812695,152
-393.2914965567365,153
-942.9196171950974,154
-261.3504913784919,155
-917.101682714707,156
-128.8262003110178,157
-780.9354786045765,158
-521.7810461550926,159
-426.7738867755489,160
-265.61651436477365,161
-819.7298783292246,162
-272.9215813659676,163
-776.834332431869,164
-262.3900661545925,165
-132.12623622513212,166
-262.11746326066526,167
-263.20980945053094,168
-0.3805095273600947,169
-1076.2878428885865,170
-254.14938138935815,171
-261.01856919115255,172
-930.2858176349101,173
-537.7008658919203,174
-522.7103301860867,175
-3.6120355148026184,176
-130.21854631752979,177
-434.84039322578195,178
-2.230960383757409,179
-1027.4463179253348,180
-129.47132238408255,181
-0.37866273150030755,182
-385.27267868093935,183
-259.89752785941494,184
-0.7283559321068548,185
-789.361067525375,186
-126.28503326037485,187
-539.3883895851371,188
-256.48478145056396,189
-2.2659392371830966,190
-524.3759178071607,191
-271.97892582579505,192
-926.719571460742,193
-129.15075877570163,194
-548.5670445269479,195
-393.8543897788036,196
-258.06529336789964,197
-527.2038407590632,198
-2.371095343424757,199
-582.3641558329555,200
-403.3927851237764,201
-130.0053149485939,202
-524.4675766555405,203
-1067.338794259848,204
-129.4322522266625,205
-387.9664545818074,206
-465.4821728518156,207
-254.82783040484972,208
-130.94755085634196,209
-1186.100938903983,210
-2.35943540657512,211
-523.6375459505396,212
-522.4807096870338,213
-133.20918183100372,214
-401.03224261826705,215
-402.69143238316764,216
-126.45996737306298,217
-659.5856896037266,218
-404.1698843168999,219
-130.07772170996324,220
-130.59138001775293,221
-1080.0004514668324,222
-266.65057056851094,223
-1114.9212461773673,224
-131.55964489194,225
-130.02418188328951,226
-533.5183804943565,227
-126.94992274084004,228
-394.44267547163906,229
-259.194533631094,230
-125.92078014408864,231
-128.39799643802465,232
-0.44082835340058646,233
-267.0063816747732,234
-555.3847179395383,235
-253.08091862138875,236
-274.3863333818009,237
-266.3580583235881,238
-281.1009014282488,239
-401.4191804534081,240
-262.1729832136079,241
-790.4367453057972,242
-0.9034114207850806,243
-532.5229837613709,244
-660.4134402241634,245
-423.7315171563312,246
-1.228469885314944,247
-131.68273697298633,248
-131.2780220185061,249
-396.03978805841376,250
-0.6360345163838601,251
-128.73650255143434,252
-964.3040284401452,253
-263.1808777708194,254
-413.5803986409583,255
-2.201068263763564,256
-267.0071470771915,257
-260.1376724372954,258
-261.74101574274283,259
-131.9105311243417,260
-448.65855074975116,261
-429.87923852170985,262
-129.6193049217545,263
-969.5628623509068,264
-126.66474893150023,265
-274.831349841074,266
-129.83226454279134,267
-383.679353672769,268
-1052.0053869596522,269
-272.1168027318256,270
-1.427957214813859,271
-2.740727605272145,272
-3.116432645284185,273
-1169.313384106829,274
-791.0439997626511,275
-1041.2273034436687,276
-402.8287391137082,277
-5.940200658240485,278
-732.8929820086169,279
-264.8407615955073,280
-4.505348292019265,281
-1188.5563444835811,282
-963.778489959107,283
-508.5885039093037,284
-133.18251814941289,285
-425.2095475052423,286
-127.2187277019593,287
-491.2177710740775,288
-2.149364530985958,289
-282.51505501219543,290
-414.6238484536778,291
-0.09329528015836464,292
-0.34757233036448193,293
-129.29797727013664,294
